tmc_code,miles,hour_0_mean_tt_seconds,hour_0_5th_pct,hour_0_95th_pct,hour_1_mean_tt_seconds,hour_1_5th_pct,hour_1_95th_pct,hour_2_mean_tt_seconds,hour_2_5th_pct,hour_2_95th_pct,hour_3_mean_tt_seconds,hour_3_5th_pct,hour_3_95th_pct,hour_4_mean_tt_seconds,hour_4_5th_pct,hour_4_95th_pct,hour_5_mean_tt_seconds,hour_5_5th_pct,hour_5_95th_pct,hour_6_mean_tt_seconds,hour_6_5th_pct,hour_6_95th_pct,hour_7_mean_tt_seconds,hour_7_5th_pct,hour_7_95th_pct,hour_8_mean_tt_seconds,hour_8_5th_pct,hour_8_95th_pct,hour_9_mean_tt_seconds,hour_9_5th_pct,hour_9_95th_pct,hour_10_mean_tt_seconds,hour_10_5th_pct,hour_10_95th_pct,hour_11_mean_tt_seconds,hour_11_5th_pct,hour_11_95th_pct,hour_12_mean_tt_seconds,hour_12_5th_pct,hour_12_95th_pct,hour_13_mean_tt_seconds,hour_13_5th_pct,hour_13_95th_pct,hour_14_mean_tt_seconds,hour_14_5th_pct,hour_14_95th_pct,hour_15_mean_tt_seconds,hour_15_5th_pct,hour_15_95th_pct,hour_16_mean_tt_seconds,hour_16_5th_pct,hour_16_95th_pct,hour_17_mean_tt_seconds,hour_17_5th_pct,hour_17_95th_pct,hour_18_mean_tt_seconds,hour_18_5th_pct,hour_18_95th_pct,hour_19_mean_tt_seconds,hour_19_5th_pct,hour_19_95th_pct,hour_20_mean_tt_seconds,hour_20_5th_pct,hour_20_95th_pct,hour_21_mean_tt_seconds,hour_21_5th_pct,hour_21_95th_pct,hour_22_mean_tt_seconds,hour_22_5th_pct,hour_22_95th_pct,hour_23_mean_tt_seconds,hour_23_5th_pct,hour_23_95th_pct
114N11701,0.028005000000000002,,,,4.635,3.1365,6.1335,,,,8.345,2.8955,13.7945,4.6475,2.434,8.376499999999998,5.771666666666667,2.3834999999999997,12.039999999999992,3.68142857142857,2.4274999999999998,4.8,9.185000000000002,2.53,24.947999999999993,5.128378378378378,2.88,7.055999999999993,6.6975,2.635,15.0,5.258333333333334,2.52,9.954499999999992,6.669999999999997,3.19,15.839999999999996,7.045789473684212,2.808,25.2,6.708064516129033,2.72,16.8,8.343571428571426,2.8845,24.947999999999976,8.436944444444443,3.0375,18.900000000000002,12.15450980392157,3.955,25.2,14.656666666666657,4.39,25.2,9.704411764705881,2.72,20.16,8.673333333333334,2.9895,25.2,5.748666666666666,2.799,11.619999999999997,8.066999999999998,2.577,21.41999999999999,5.491999999999999,2.213,14.867999999999988,5.28,3.5519999999999996,7.008
114+05943,0.050499,9.70125,6.217499999999999,20.2,12.228333333333333,6.338500000000001,27.918499999999995,11.0125,7.954,15.754499999999998,9.606666666666667,7.639000000000001,12.517,8.893749999999999,7.193,10.7335,19.283333333333335,7.27,43.17750000000001,13.348181818181816,6.1205,20.2,15.344915254237293,6.73,30.905999999999967,16.082972972972975,6.899000000000001,30.300000000000004,16.944237288135593,7.241999999999999,30.3,15.02962025316456,7.57,26.402999999999974,17.894743589743605,7.444,36.36,16.976595744680846,7.465,30.300000000000004,17.533737373737374,7.867,36.36,17.077065217391315,7.57,30.3,16.243883495145635,7.936,30.3,15.489677419354843,7.27,30.3,18.15687500000001,7.817500000000001,36.36,18.0766265060241,7.3,30.3,16.349824561403512,6.73,31.511999999999976,19.720576923076933,6.523,45.45,19.637872340425535,7.359999999999999,42.72299999999996,17.31314285714286,6.4239999999999995,30.3,18.43551724137931,6.454000000000001,36.36
114+05944,0.500117,66.73363636363636,56.26,76.65,57.12624999999999,49.13249999999999,73.52399999999999,124.564,58.879999999999995,303.7199999999999,188.5025,73.493,405.09949999999986,100.75333333333333,53.594,258.4119999999999,79.15571428571427,52.431,135.03399999999996,101.756,66.478,217.19499999999994,87.77714285714289,58.852,120.03,120.13355555555557,62.08,291.49599999999987,112.12648148148158,60.00999999999999,220.05249999999967,130.68446808510643,58.659,287.20899999999983,117.83907407407408,64.3,360.08,127.70639344262298,62.08,300.07,133.29712328767133,62.08,300.07,133.16977777777782,60.010000000000005,257.2,149.116046511628,72.77,257.2,149.05203703703722,70.2195,285.06549999999964,143.55130841121502,66.68,300.07,105.06858974358977,57.806999999999995,169.12699999999967,112.01777777777781,54.489000000000004,375.09199999999987,113.75277777777777,59.4475,300.07,101.63428571428572,59.946,211.8129999999999,64.284,54.900000000000006,78.808,77.43333333333332,51.015,133.9625
114+05945,1.1363450000000002,156.12285714285713,93.571,223.68200000000002,112.13714285714285,95.81800000000001,129.56,138.97714285714287,114.58,175.61799999999994,135.01,120.32,151.642,120.95833333333333,92.043,157.61999999999998,226.10640000000004,96.068,426.5679999999996,178.53343750000002,107.65,255.68,187.39541666666662,116.88,326.47900000000004,217.08909090909083,113.63,624.9925,175.64753424657542,113.63,280.51199999999983,179.25727272727275,113.63,279.41799999999967,180.1383544303798,115.419,320.40099999999967,194.15825581395353,121.22999999999999,272.72,183.22976190476192,117.396,240.64,206.09589743589746,118.856,340.9,199.90631578947375,127.84,346.99,252.47538461538474,120.32,681.81,231.4857333333334,125.584,533.2749999999999,203.8377586206897,101.8965,463.06299999999993,211.44083333333336,107.65,611.834999999999,167.185,96.60900000000001,267.0404999999997,141.35,104.89,224.28000000000003,143.79529411764705,112.434,185.95,145.368,111.18400000000001,169.08599999999998
114+05946,1.490315,127.31166666666668,114.77000000000001,151.8825,125.99333333333333,108.41749999999999,153.1275,145.06833333333333,128.51999999999998,164.0675,149.45624999999998,118.48499999999999,173.07,132.373,115.9575,168.219,152.11035714285714,108.86449999999999,187.1405,140.0452173913043,114.15,188.96599999999995,157.1939393939394,114.77000000000001,230.84000000000003,185.60016129032257,111.889,381.9429999999999,153.72861111111112,123.492,206.35,160.99228260869563,116.63,232.69400000000007,166.55915789473684,115.886,229.64599999999996,175.06117021276603,118.32,311.1009999999998,161.80341772151897,114.15,259.7379999999997,166.47736842105252,118.58,258.67499999999995,203.36128571428569,121.723,291.0039999999999,158.97333333333333,116.63,206.35,156.84333333333333,109.535,223.55,163.57625,111.77000000000001,251.41649999999998,146.98814814814818,109.48999999999998,189.627,145.5528571428571,119.23,198.71,151.89,121.93,198.71,134.368,112.84100000000001,169.37199999999999,145.74857142857144,104.49799999999999,209.84
114+05940,0.8801530000000001,157.7026190476191,83.38,449.82099999999974,111.39857142857144,80.631,176.1479999999999,106.13851851851852,84.05799999999999,130.436,107.33444444444443,78.72749999999999,139.3275,121.28312500000003,72.01,256.938,110.97297619047619,77.5695,144.03,151.38172932330832,93.19,243.73,264.09274647887344,176.03,352.06,306.6782517482519,199.351,452.65,240.49181818181813,117.35,396.07,180.18338028169006,117.35,264.05,191.5500724637682,101.7315,396.07,183.93050000000002,113.16,352.06,179.0234265734266,102.55099999999999,316.86,177.98992857142858,102.05049999999999,316.86,194.5491549295775,113.16,352.06,263.7741958041958,152.469,446.9920000000003,245.97528985507233,126.74000000000001,452.65,192.15031250000007,105.62,339.73999999999967,193.34009090909092,91.727,396.07,216.57189189189185,83.44,490.37,217.409797979798,83.166,460.19399999999956,234.30953488372091,87.5275,396.07,161.02730769230774,81.24,322.1399999999997
114+05941,0.642926,127.46937500000001,72.82600000000001,264.5179999999999,136.96951219512192,72.33,289.32,145.6396428571429,85.72,289.32,138.45526315789473,69.739,336.16099999999983,130.57874999999999,74.981,290.236,126.55022727272723,75.0335,228.29400000000004,172.84570093457938,80.665,289.32,257.590962962963,136.15,385.76,287.0894366197182,165.95600000000002,459.05249999999916,281.7759124087591,163.116,462.90999999999997,235.67352517985617,128.59,330.65,249.52482517482525,137.001,385.76,263.76041666666663,154.3,385.76,277.2412230215827,144.66,462.91,268.3096478873239,154.851,385.76,246.65614285714307,121.24,385.76,289.5931468531471,165.32,462.91,292.16731884057975,154.3,462.91,213.41125984251968,110.22,330.65,218.98909836065576,100.63,385.76,194.71266666666665,89.732,289.32,199.40222222222204,93.931,330.65,209.32056074766342,93.738,330.65,180.88574999999992,92.58000000000001,289.32
114+05942,0.5402319999999999,95.87517241379314,65.722,170.90799999999996,137.45199999999997,71.9015,324.14,91.18777777777777,63.141999999999996,138.38,121.24833333333332,68.78999999999999,285.64699999999976,128.62153846153845,61.956,277.8359999999995,100.21916666666665,72.39699999999999,143.726,137.89625,64.83,243.10000000000002,165.81181818181815,77.79,277.83,165.07300813008115,84.56,277.83,163.2291666666666,84.56,277.83,167.29834645669285,82.089,277.83,174.80354838709667,86.46200000000002,277.83,175.5263076923075,108.05,277.83,165.7463157894736,86.864,243.09999999999997,179.84614814814802,102.36,277.83,170.65886363636344,95.1565,258.7284999999996,173.87578947368394,102.36,256.9919999999997,193.687633587786,86.48,300.985,169.82482758620674,80.22,277.83,176.18495238095227,84.56,277.83,178.89752688172044,77.79,277.83,181.12025641025633,77.34150000000001,324.14,182.29090909090908,72.03,277.83,165.5493939393939,72.03,277.83
114P12255,0.090347,16.867,11.011000000000001,34.55799999999998,20.13875,9.5075,43.99349999999998,16.125555555555554,9.57,39.37399999999999,17.345714285714287,9.306000000000001,26.797999999999995,16.254285714285718,8.439,28.862999999999992,14.948125,8.625,28.455000000000005,15.296857142857142,8.07,30.198999999999934,21.298636363636362,10.16,63.424000000000014,17.267959183673465,9.102,32.52,19.328043478260867,10.2425,36.14,21.139591836734688,9.98,44.139999999999965,20.100634920634914,9.89,40.20799999999999,20.311818181818186,9.773,42.39999999999998,22.595283018867928,10.04,46.46,18.79645833333333,10.7455,40.66,21.818490566037735,10.16,46.46,25.925072463768107,11.62,74.80599999999991,25.975500000000004,11.5175,46.84749999999998,26.241216216216205,9.29,58.00399999999994,19.63476190476191,9.5845,40.433999999999976,15.993928571428574,8.79,32.52,18.419166666666666,9.29,50.956499999999956,15.733333333333329,9.192,29.57,17.70157894736842,9.194999999999999,29.864999999999995
114+05939,0.784779,75.32560000000001,61.692,101.93999999999997,68.96000000000001,56.79,83.09,71.123125,55.0645,89.57249999999999,72.82348837209302,60.241,85.61,70.37135593220337,59.864999999999995,86.16299999999997,75.01893203883496,58.86,94.17,84.71022900763363,65.7,117.72,258.81138888888904,85.61,470.87,332.02104895104895,109.566,470.87,169.1255944055944,65.857,464.14300000000037,99.41634328358211,61.42,251.12649999999945,75.20206106870226,59.485,97.42,75.16857142857138,61.42,94.17,74.90430656934313,59.86,88.29,73.7165185185185,61.027,86.41399999999999,77.99480916030537,61.42,104.64,87.79921875000001,63.2805,139.63899999999978,76.43871794871794,61.158,100.9,79.36592233009708,56.616,104.26599999999996,80.6949397590361,56.616,113.01,68.87917647058825,54.33,85.106,75.79177419354836,55.513,107.93549999999993,74.21840909090909,57.66,93.7155,77.29020833333334,56.5,110.0805
